charcode,name,character,comments
0x20,"SPACE"," ",
0x21,"EXCLAMATION MARK","!",
0x22,"QUOTATION MARK","""",
0x23,"NUMBER SIGN","#",
0x24,"DOLLAR SIGN","$",
0x25,"PERCENT SIGN","%",
0x26,"AMPERSAND","&",
0x27,"APOSTROPHE","'",
0x28,"LEFT PARENTHESIS","(",
0x29,"RIGHT PARENTHESIS",")",
0x2a,"ASTERISK","*",
0x2b,"PLUS SIGN","+",
0x2c,"COMMA",",",
0x2d,"HYPHEN-MINUS","-",
0x2e,"FULL STOP",".",
0x2f,"SOLIDUS","/",
0x30,"DIGIT ZERO","0",
0x31,"DIGIT ONE","1",
0x32,"DIGIT TWO","2",
0x33,"DIGIT THREE","3",
0x34,"DIGIT FOUR","4",
0x35,"DIGIT FIVE","5",
0x36,"DIGIT SIX","6",
0x37,"DIGIT SEVEN","7",
0x38,"DIGIT EIGHT","8",
0x39,"DIGIT NINE","9",
0x3a,"COLON",":",
0x3b,"SEMICOLON",";",
0x3c,"LESS-THAN SIGN","<",
0x3d,"EQUALS SIGN","=",
0x3e,"GREATER-THAN SIGN",">",
0x3f,"QUESTION MARK","?",
0x40,"COMMERCIAL AT","@",
0x41,"LATIN CAPITAL LETTER A","A",
0x42,"LATIN CAPITAL LETTER B","B",
0x43,"LATIN CAPITAL LETTER C","C",
0x44,"LATIN CAPITAL LETTER D","D",
0x45,"LATIN CAPITAL LETTER E","E",
0x46,"LATIN CAPITAL LETTER F","F",
0x47,"LATIN CAPITAL LETTER G","G",
0x48,"LATIN CAPITAL LETTER H","H",
0x49,"LATIN CAPITAL LETTER I","I",
0x4a,"LATIN CAPITAL LETTER J","J",
0x4b,"LATIN CAPITAL LETTER K","K",
0x4c,"LATIN CAPITAL LETTER L","L",
0x4d,"LATIN CAPITAL LETTER M","M",
0x4e,"LATIN CAPITAL LETTER N","N",
0x4f,"LATIN CAPITAL LETTER O","O",
0x50,"LATIN CAPITAL LETTER P","P",
0x51,"LATIN CAPITAL LETTER Q","Q",
0x52,"LATIN CAPITAL LETTER R","R",
0x53,"LATIN CAPITAL LETTER S","S",
0x54,"LATIN CAPITAL LETTER T","T",
0x55,"LATIN CAPITAL LETTER U","U",
0x56,"LATIN CAPITAL LETTER V","V",
0x57,"LATIN CAPITAL LETTER W","W",
0x58,"LATIN CAPITAL LETTER X","X",
0x59,"LATIN CAPITAL LETTER Y","Y",
0x5a,"LATIN CAPITAL LETTER Z","Z",
0x5b,"LEFT SQUARE BRACKET","[",
0x5c,"REVERSE SOLIDUS","\",
0x5d,"RIGHT SQUARE BRACKET","]",
0x5e,"CIRCUMFLEX ACCENT","^",
0x5f,"LOW LINE","_",
0x60,"GRAVE ACCENT","`",
0x61,"LATIN SMALL LETTER A","a",
0x62,"LATIN SMALL LETTER B","b",
0x63,"LATIN SMALL LETTER C","c",
0x64,"LATIN SMALL LETTER D","d",
0x65,"LATIN SMALL LETTER E","e",
0x66,"LATIN SMALL LETTER F","f",
0x67,"LATIN SMALL LETTER G","g",
0x68,"LATIN SMALL LETTER H","h",
0x69,"LATIN SMALL LETTER I","i",
0x6a,"LATIN SMALL LETTER J","j",
0x6b,"LATIN SMALL LETTER K","k",
0x6c,"LATIN SMALL LETTER L","l",
0x6d,"LATIN SMALL LETTER M","m",
0x6e,"LATIN SMALL LETTER N","n",
0x6f,"LATIN SMALL LETTER O","o",
